dorm_type,room_type,Housing portion,date
Standard Room Projected Rates,LARGE TRIPLE* (Designed triple),"$13,045",2024-08-13
Standard Room Projected Rates,QUAD,"$11,325",2024-08-13
Premium Room Projected Rates (Blackwell),SINGLE,"$18,550",2024-08-20
Premium Room Projected Rates (Blackwell),DOUBLE,"$16,155",2024-08-20
Room in Mini Suite Projected Rates,SINGLE,"$18,290",2024-08-20
Room in Mini Suite Projected Rates,DOUBLE,"$17,975",2024-08-20
Room in Mini Suite Projected Rates,LARGE TRIPLE (Designed triple),"$15,025",2024-08-20
Room in Mini Suite Projected Rates,SMALL TRIPLE,"$14,665",2024-08-20
Room in Suite Projected Rates,SINGLE,"$20,255",2024-08-20
Room in Suite Projected Rates,DOUBLE,"$19,935",2024-08-20
