date,type,price
2022-04-08,1bd,2395.0
2022-04-08,2bds,3195.0
2022-04-08,3bds,4776.0
2022-04-08,4bds,6595.0
2022-04-08,5bds,5995.0
2022-04-08,Studio,2521.0
2022-04-11,1bd,2639.5
2022-04-11,2bds,3793.0
2022-04-11,3bds,4776.0
2022-04-11,4bds,5995.0
2022-04-11,5bds,7135.0
2022-04-11,Studio,2800.0
2022-04-17,1bd,3117.0
2022-04-17,2bds,3744.0
2022-04-17,3bds,5895.0
2022-04-17,4bds,6495.0
2022-04-17,5bds,7135.0
2022-04-17,Studio,2787.5
2022-04-20,1bd,2622.5
2022-04-20,2bds,3987.5
2022-04-20,3bds,4195.0
2022-04-20,4bds,6595.0
2022-04-20,5bds,7135.0
2022-04-20,Studio,2694.5
2022-04-24,1bd,2647.5
2022-04-24,2bds,3696.5
2022-04-24,3bds,4776.0
2022-04-24,4bds,4900.0
2022-04-24,5bds,7135.0
2022-04-24,Studio,2595.0
2022-04-25,1bd,2601.5
2022-04-25,2bds,3850.0
2022-04-25,3bds,4776.0
2022-04-25,4bds,6000.0
2022-04-25,5bds,7135.0
2022-04-25,Studio,2595.5
2022-11-16,1bd,3029.0
2022-11-16,2bds,3947.0
2022-11-16,3bds,5274.0
2022-11-16,Studio,2710.5
2023-02-12,1bd,3474.0
2023-02-12,2bds,4245.0
2023-02-12,Studio,2489.5
2023-03-14,1bd,2848.0
2023-03-14,2bds,3756.5
2023-03-14,3bds,4863.0
2023-03-14,4bds,5395.0
2023-03-14,5bds,7395.0
2023-03-14,Studio,2637.5
2023-03-29,1bd,3272.0
2023-03-29,2bds,4550.0
2023-03-29,3bds,5986.5
2023-03-29,Studio,2950.0
2024-07-08,1bd,2745.0
2024-07-08,2bds,3795.0
2024-07-08,3bds,5395.0
2024-07-08,4bds,6000.0
2024-07-08,Studio,2445.0
